date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:31	112/112	---M-Z	200	added ('OK')	text/plain	date:Wed,%2015%20Jan%202025%2017:28:34%20GMT	https://metodogdf.com.br/robots.txt		(from )
14:28:32	216185/216185	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2017:28:35%20GMT	https://metodogdf.com.br/__trashed-2/?ref=W95917015B	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/__trashed-2/indexdef5.html	(from )
14:28:32	114706/114706	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2012:05:27%20GMT	https://metodogdf.com.br/wp-includes/css/dist/block-library/style.min.css?ver=6.7.1	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-includes/css/dist/block-library/style.min9704.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:33	4708/4708	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Mar%202023%2016:36:55%20GMT	https://metodogdf.com.br/wp-content/uploads/hurrytimer/css/a248addb15e491d2.css?ver=6.7.1	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/uploads/hurrytimer/css/a248addb15e491d29704.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:33	5839/5839	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jan%202022%2017:35:14%20GMT	https://metodogdf.com.br/wp-content/themes/hello-elementor/style.min.css?ver=2.5.0	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/themes/hello-elementor/style.min0875.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:33	15346/15346	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jan%202022%2017:35:14%20GMT	https://metodogdf.com.br/wp-content/themes/hello-elementor/theme.min.css?ver=2.5.0	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/themes/hello-elementor/theme.min0875.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:33	107922/107922	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2016:19:32%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.6.5	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min3ab2.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:33	1261/1261	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Dec%202024%2017:29:34%20GMT	https://metodogdf.com.br/wp-content/uploads/elementor/css/post-4.css?ver=1733333374	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/uploads/elementor/css/post-460b4.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:34	19128/19128	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Mar%202022%2012:08:08%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:34	210882/210882	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Jul%202022%2021:01:38%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.2.2	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/plugins/elementor-pro/assets/css/frontend.minee9a.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:34	59344/59344	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.6.5	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min3ab2.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:34	26702/26702	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.6.5	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min3ab2.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:35	81951/81951	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Dec%202024%2017:38:02%20GMT	https://metodogdf.com.br/wp-content/uploads/elementor/css/global.css?ver=1733333882	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/uploads/elementor/css/globalc564.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:35	88002/88002	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Dec%202024%2018:10:02%20GMT	https://metodogdf.com.br/wp-content/uploads/elementor/css/post-5132.css?ver=1733335802	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/uploads/elementor/css/post-5132e744.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:35	22054/22054	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Jul%202022%2021:03:25%20GMT	https://metodogdf.com.br/wp-content/plugins/happy-elementor-addons/assets/fonts/style.min.css?ver=2.24.0	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/plugins/happy-elementor-addons/assets/fonts/style.mindae4.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:35	30999/30999	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202019%2014:54:54%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:36	57912/57912	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:36	669/669	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:36	677/677	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:36	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202023%2010:38:34%20GMT	https://metodogdf.com.br/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-includes/js/jquery/jquery.minf43b.js	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:36	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2011:35:51%20GMT	https://metodogdf.com.br/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:37	15055/15055	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Jan%202021%2019:38:58%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.6.5	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min3ab2.js	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:37	36137/36137	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2014:44:20%20GMT	https://metodogdf.com.br/wp-content/uploads/2022/07/50d9d627-7ff4-4fc9-a591-9d5761431ade-removebg-preview-1.png	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/uploads/2022/07/50d9d627-7ff4-4fc9-a591-9d5761431ade-removebg-preview-1.png	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:37	117007/117007	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jul%202022%2013:44:48%20GMT	https://metodogdf.com.br/wp-content/uploads/2022/07/MENOS-20Kg-4-1024x328.png	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/uploads/2022/07/MENOS-20Kg-4-1024x328.png	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:38	245409/245409	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2015%20Jan%202025%2017:28:41%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/connect.facebook.net/en_US/fbevents.js	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:38	11775/11775	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2016:19:32%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:38	927137/927137	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Oct%202022%2016:43:21%20GMT	https://metodogdf.com.br/wp-content/uploads/2022/10/71017D-6-1024x1024.png	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/uploads/2022/10/71017D-6-1024x1024.png	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:39	197094/197094	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2017:28:42%20GMT	https://metodogdf.com.br/__trashed-2/	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/__trashed-2/index.html	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:39	959824/959824	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Oct%202022%2016:37:13%20GMT	https://metodogdf.com.br/wp-content/uploads/2022/10/71017D-5-1024x1024.png	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/uploads/2022/10/71017D-5-1024x1024.png	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:39	865417/865417	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Oct%202022%2016:53:20%20GMT	https://metodogdf.com.br/wp-content/uploads/2022/10/71017D-7-1024x1024.png	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/uploads/2022/10/71017D-7-1024x1024.png	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:39	705025/705025	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Oct%202022%2016:32:04%20GMT	https://metodogdf.com.br/wp-content/uploads/2022/10/71017D-3-1024x1024.png	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/uploads/2022/10/71017D-3-1024x1024.png	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
14:28:40	817608/817608	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Oct%202022%2016:22:49%20GMT	https://metodogdf.com.br/wp-content/uploads/2022/10/71017D-1024x1024.png	C:/Users/Paulo/Desktop/site%20emagrecimento/emagrecimento/metodogdf.com.br/wp-content/uploads/2022/10/71017D-1024x1024.png	(from https://metodogdf.com.br/__trashed-2/?ref=W95917015B)
